Município;Dose;Total Doses Aplicadas
BORÁ;UNICA;10
NOVA CASTILHO;UNICA;20
URU;UNICA;26
UNIÃO PAULISTA;UNICA;36
TRABIJU;UNICA;35
FERNÃO;UNICA;30
SANTANA DA PONTE PENSA;UNICA;32
SANTA SALETE;UNICA;30
DIRCE REIS;UNICA;18
FLORA RICA;UNICA;19
VITÓRIA BRASIL;UNICA;37
SÃO JOÃO DE IRACEMA;UNICA;35
MESÓPOLIS;UNICA;36
ASPÁSIA;UNICA;15
PAULISTÂNIA;UNICA;38
ARCO-ÍRIS;UNICA;30
TURIÚBA;UNICA;39
SANTA CRUZ DA ESPERANÇA;UNICA;40
MARINÓPOLIS;UNICA;40
GUARANI D'OESTE;UNICA;30
SAGRES;UNICA;46
NOVA CANAÃ PAULISTA;UNICA;25
MONÇÕES;UNICA;50
TURMALINA;UNICA;23
CRUZÁLIA;UNICA;32
SÃO JOÃO DO PAU D'ALHO;UNICA;30
DOLCINÓPOLIS;UNICA;54
EMBAÚBA;UNICA;60
ARAPEÍ;UNICA;59
NOVA GUATAPORANGA;UNICA;35
BOREBI;UNICA;50
LUCIANÓPOLIS;UNICA;44
LOURDES;UNICA;47
BREJO ALEGRE;UNICA;72
BENTO DE ABREU;UNICA;72
SANTA CLARA D'OESTE;UNICA;32
RIBEIRÃO DOS ÍNDIOS;UNICA;44
SÃO JOÃO DAS DUAS PONTES;UNICA;60
ÓLEO;UNICA;57
TORRE DE PEDRA;UNICA;50
OSCAR BRESSANE;UNICA;45
PARISI;UNICA;45
ZACARIAS;UNICA;69
PONTES GESTAL;UNICA;61
CÁSSIA DOS COQUEIROS;UNICA;52
TAQUARAL;UNICA;59
RUBIÁCEA;UNICA;49
TIMBURI;UNICA;39
LUTÉCIA;UNICA;55
GABRIEL MONTEIRO;UNICA;62
ALVINLÂNDIA;UNICA;68
NOVA LUZITÂNIA;UNICA;126
PEDRANÓPOLIS;UNICA;56
NANTES;UNICA;59
SANTA RITA D'OESTE;UNICA;58
SANTA MERCEDES;UNICA;53
ESTRELA DO NORTE;UNICA;48
MOMBUCA;UNICA;71
SÃO FRANCISCO;UNICA;43
SANTO EXPEDITO;UNICA;60
QUEIROZ;UNICA;85
JUMIRIM;UNICA;99
RIBEIRA;UNICA;58
ELISIÁRIO;UNICA;100
CÂNDIDO RODRIGUES;UNICA;56
PLATINA;UNICA;77
JERIQUARA;UNICA;71
MARAPOAMA;UNICA;71
BOM SUCESSO DE ITARARÉ;UNICA;77
MAGDA;UNICA;65
SUZANÁPOLIS;UNICA;65
PIQUEROBI;UNICA;54
MIRA ESTRELA;UNICA;51
PEDRINHAS PAULISTA;UNICA;55
FLOREAL;UNICA;50
ITAJU;UNICA;97
