,nome_munic,doseunica,primeiradose,segundadose,terceiradose,pop
0,ZACARIAS,69,2115,1925,193,2560
1,VOTUPORANGA,2315,80648,68116,9176,91760
2,VOTORANTIM,3252,86508,70917,6239,119824
3,VITÓRIA BRASIL,37,1590,1250,129,1760
4,VISTA ALEGRE DO ALTO,254,6467,5688,593,8014
5,VIRADOURO,460,14730,12692,1360,18347
6,VINHEDO,2286,62679,52385,5136,77521
7,VERA CRUZ,181,8401,7606,983,10524
8,VÁRZEA PAULISTA,3590,90706,68993,3871,120535
9,VARGEM GRANDE PAULISTA,1369,39490,30189,2157,52762
10,VARGEM GRANDE DO SUL,1018,34078,29243,2963,41501
11,VARGEM,258,8197,6976,826,10000
12,VALPARAÍSO,609,20254,16915,1358,23988
13,VALINHOS,3341,102602,89215,9034,124742
14,VALENTIM GENTIL,406,11262,10146,890,12770
15,URUPÊS,351,11359,10397,1395,13164
16,URU,26,1150,1125,179,1207
17,URÂNIA,233,7316,6362,1049,8611
18,UNIÃO PAULISTA,36,1391,1229,156,1739
19,UCHOA,231,8077,7442,1163,9683
20,UBIRAJARA,104,4366,3063,284,4663
21,UBATUBA,2141,78380,58538,4051,88916
22,UBARANA,160,4503,3997,300,6066
23,TURMALINA,23,1705,1618,364,1805
24,TURIÚBA,39,1612,1493,264,1912
25,TUPI PAULISTA,325,13981,12399,1354,14878
26,TUPÃ,1387,53731,48369,5880,62843
27,TUIUTI,180,5410,4765,439,6557
28,TRÊS FRONTEIRAS,134,5342,4585,714,5547
29,TREMEMBÉ,1223,40858,32243,2956,45978
30,TRABIJU,35,1434,1261,183,1703
31,TORRINHA,256,7939,7314,846,9713
32,TORRE DE PEDRA,50,2362,2138,233,2320
33,TIMBURI,39,2273,2048,218,2557
34,TIETÊ,1123,31720,28223,2261,41073
35,TERRA ROXA,245,6601,6031,608,9121
36,TEODORO SAMPAIO,574,18097,14942,1154,22414
37,TEJUPÁ,90,3619,3083,292,4697
38,TAUBATÉ,8378,249271,210936,17993,307361
39,TATUÍ,3090,99886,81392,6448,120123
40,TARUMÃ,410,11896,10671,830,14806
41,TARABAI,204,5597,4865,476,7269
42,TAQUARIVAÍ,121,4806,3514,134,5746
43,TAQUARITUBA,495,20987,17449,1724,23193
44,TAQUARITINGA,1299,44236,39659,4935,54499
45,TAQUARAL,59,2266,2018,207,2751
46,TAPIRATIBA,283,10526,9307,987,12610
47,TAPIRAÍ,151,6686,5763,465,7699
48,TANABI,625,21184,18618,2501,25105
49,TAMBAÚ,572,17343,14604,1515,22803
50,TAIÚVA,158,5495,4433,667,6278
51,TAIAÇU,150,4776,4246,699,6037
52,TAGUAÍ,343,10500,9110,928,13319
53,TACIBA,157,4768,4107,348,6054
54,TABOÃO DA SERRA,7651,217987,170325,12902,283871
55,TABATINGA,520,11992,10506,1028,15897
56,TABAPUÃ,268,9627,8510,1264,11892
57,SUZANO,7553,231896,171529,13621,291002
58,SUZANÁPOLIS,65,2931,2602,293,3947
59,SUMARÉ,8464,223800,169122,9494,283212
60,SUD MENNUCCI,196,6189,5346,845,7713
61,SOROCABA,17844,561668,432584,30325,658547
62,SOCORRO,983,34070,29612,2978,38783
63,SILVEIRAS,162,5240,4731,644,6204
64,SEVERÍNIA,509,12353,10599,1017,17126
65,SETE BARRAS,258,10280,7796,683,12628
66,SERTÃOZINHO,3543,101513,86862,7509,122355
67,SERRA NEGRA,637,24056,20995,2460,27440
68,SERRA AZUL,156,12042,9774,659,12282
69,SEBASTIANÓPOLIS DO SUL,82,2880,2765,446,3293
70,SARUTAIÁ,66,3082,2628,314,3646
71,SARAPUÍ,261,8388,6792,450,10110
72,SÃO VICENTE,7582,272953,211397,26842,357929
73,SÃO SIMÃO,355,11717,10266,1167,14847
74,SÃO SEBASTIÃO DA GRAMA,295,8976,8334,909,11936
75,SÃO SEBASTIÃO,2351,72281,56295,3197,87135
76,SÃO ROQUE,2035,70935,52348,4630,87435
77,SÃO PEDRO DO TURVO,160,6046,4983,627,7369
78,SÃO PEDRO,790,29872,20968,1692,34208
79,SÃO PAULO,326454,10517375,8539896,889253,11869660
80,SÃO MIGUEL ARCANJO,836,26621,22561,1681,32000
81,SÃO MANUEL,1036,29645,25391,2550,39574
82,SÃO LUIZ DO PARAITINGA,240,9317,8618,909,10569
83,SÃO LOURENÇO DA SERRA,370,12254,9655,737,15579
84,SÃO JOSÉ DOS CAMPOS,16318,580784,481209,46502,710654
85,SÃO JOSÉ DO RIO PRETO,11550,393522,338457,41982,447924
86,SÃO JOSÉ DO RIO PARDO,1255,44936,37928,5572,53206
87,SÃO JOSÉ DO BARREIRO,88,3406,3166,391,4070
88,SÃO JOSÉ DA BELA VISTA,228,6205,5489,582,8727
89,SÃO JOAQUIM DA BARRA,1436,39560,36037,3160,50274
90,SÃO JOÃO DO PAU D'ALHO,30,1867,1683,291,1985
91,SÃO JOÃO DE IRACEMA,35,1554,1366,231,1850
92,SÃO JOÃO DAS DUAS PONTES,60,2133,1987,296,2476
93,SÃO JOÃO DA BOA VISTA,2116,77465,66327,8991,87340
94,SÃO FRANCISCO,43,2384,2348,492,2677
95,SÃO CARLOS,6782,210884,184413,18663,242632
96,SÃO CAETANO DO SUL,4600,132878,118596,20942,151244
97,SÃO BERNARDO DO CAMPO,21027,652185,553817,58678,812086
98,SÃO BENTO DO SAPUCAÍ,239,9761,8678,905,10530
99,SANTOS,7977,374376,309280,53469,428703
100,SANTÓPOLIS DO AGUAPEÍ,162,3230,3053,396,4668
101,SANTO EXPEDITO,60,2534,2298,333,2972
102,SANTO ANTÔNIO DO PINHAL,148,6056,4669,497,6628
103,SANTO ANTÔNIO DO JARDIM,192,5055,4575,600,5826
104,SANTO ANTÔNIO DO ARACANGUÁ,235,6404,5794,663,8252
105,SANTO ANTÔNIO DE POSSE,648,19114,14358,1175,22849
106,SANTO ANTÔNIO DA ALEGRIA,155,5980,5352,765,6637
107,SANTO ANDRÉ,17585,582840,476711,52368,693867
108,SANTO ANASTÁCIO,507,15443,12984,1734,20127
109,SANTANA DE PARNAÍBA,3748,119766,101736,8323,138132
110,SANTANA DA PONTE PENSA,32,1326,1286,236,1509
111,SANTA SALETE,30,1426,1362,247,1440
112,SANTA ROSA DE VITERBO,666,20149,17374,1983,25604
113,SANTA RITA DO PASSA QUATRO,547,22330,19080,2812,26385
114,SANTA RITA D'OESTE,58,2279,2107,306,2404
115,SANTA MERCEDES,53,2619,2140,218,2813
116,SANTA MARIA DA SERRA,173,4566,3682,273,6141
117,SANTA LÚCIA,237,6123,5404,425,8562
118,SANTA ISABEL,1153,44714,36588,3351,55086
119,SANTA GERTRUDES,628,19375,14771,1229,26189
120,SANTA FÉ DO SUL,703,29413,24908,3362,30804
121,SANTA ERNESTINA,164,4789,4353,313,5525
122,SANTA CRUZ DO RIO PARDO,978,39342,35576,4165,46110
123,SANTA CRUZ DAS PALMEIRAS,984,24053,20549,1951,33729
124,SANTA CRUZ DA ESPERANÇA,40,1754,1644,210,2077
125,SANTA CRUZ DA CONCEIÇÃO,111,3678,3306,629,4349
126,SANTA CLARA D'OESTE,32,2031,1782,242,2006
127,SANTA BRANCA,349,11234,9474,859,14179
128,SANTA BÁRBARA D'OESTE,5360,147917,122469,9580,188745
129,SANTA ALBERTINA,125,5152,4739,468,5672
130,SANTA ADÉLIA,423,11712,10485,1427,14892
131,SANDOVALINA,79,3031,2637,285,4211
132,SALTO GRANDE,214,7166,5606,547,9095
133,SALTO DE PIRAPORA,1116,35464,29702,2683,44223
134,SALTO,3116,99402,82330,6899,115372
135,SALTINHO,262,7015,5857,468,7860
136,SALMOURÃO,132,4014,3526,382,5117
137,SALESÓPOLIS,459,14300,12133,1126,16838
138,SALES OLIVEIRA,286,9318,8174,854,11518
139,SALES,145,5242,4898,657,6050
140,SAGRES,44,1966,1652,185,2362
141,SABINO,129,4479,3670,481,5468
142,RUBINÉIA,60,2937,2572,294,2989
143,RUBIÁCEA,49,2402,2063,285,3106
144,ROSEIRA,328,8398,7581,605,10642
145,ROSANA,372,14015,12320,1448,18387
146,RIVERSUL,115,4711,4489,388,5705
147,RIOLÂNDIA,263,9759,7390,464,11431
148,RIO GRANDE DA SERRA,1338,31286,13938,551,49816
149,RIO DAS PEDRAS,973,25656,21324,1596,34416
150,RIO CLARO,5012,166823,139333,15844,201212
151,RINÓPOLIS,263,7607,6201,909,9720
