,datahora,casos,casos_novos,obitos,obitos_novos,pop,estado
0,2020-02-25,0,0,0,0,44639899,SÃO PAULO
645,2020-02-26,1,1,0,0,44639899,SÃO PAULO
1290,2020-02-27,1,0,0,0,44639899,SÃO PAULO
1935,2020-02-28,1,0,0,0,44639899,SÃO PAULO
2580,2020-02-29,2,1,0,0,44639899,SÃO PAULO
3225,2020-03-01,2,0,0,0,44639899,SÃO PAULO
3870,2020-03-02,2,0,0,0,44639899,SÃO PAULO
4515,2020-03-03,2,0,0,0,44639899,SÃO PAULO
5160,2020-03-04,3,1,0,0,44639899,SÃO PAULO
5805,2020-03-05,6,3,0,0,44639899,SÃO PAULO
6450,2020-03-06,10,4,0,0,44639899,SÃO PAULO
7095,2020-03-07,13,3,0,0,44639899,SÃO PAULO
7740,2020-03-08,16,3,0,0,44639899,SÃO PAULO
8385,2020-03-09,16,0,0,0,44639899,SÃO PAULO
9030,2020-03-10,19,3,0,0,44639899,SÃO PAULO
9675,2020-03-11,30,11,0,0,44639899,SÃO PAULO
10320,2020-03-12,46,16,0,0,44639899,SÃO PAULO
10965,2020-03-13,56,10,0,0,44639899,SÃO PAULO
11610,2020-03-14,65,9,0,0,44639899,SÃO PAULO
12255,2020-03-15,136,71,0,0,44639899,SÃO PAULO
12900,2020-03-16,152,16,0,0,44639899,SÃO PAULO
13545,2020-03-17,164,12,1,1,44639899,SÃO PAULO
14190,2020-03-18,240,76,4,3,44639899,SÃO PAULO
14835,2020-03-19,286,46,5,1,44639899,SÃO PAULO
15480,2020-03-20,396,110,9,4,44639899,SÃO PAULO
16125,2020-03-21,459,63,15,6,44639899,SÃO PAULO
16770,2020-03-22,631,172,22,7,44639899,SÃO PAULO
17415,2020-03-23,745,114,30,8,44639899,SÃO PAULO
18060,2020-03-24,810,65,40,10,44639899,SÃO PAULO
18705,2020-03-25,862,52,48,8,44639899,SÃO PAULO
19350,2020-03-26,1052,190,58,10,44639899,SÃO PAULO
19995,2020-03-27,1223,171,68,10,44639899,SÃO PAULO
20640,2020-03-28,1406,183,84,16,44639899,SÃO PAULO
21285,2020-03-29,1451,45,98,14,44639899,SÃO PAULO
21930,2020-03-30,1517,66,113,15,44639899,SÃO PAULO
22575,2020-03-31,2339,822,136,23,44639899,SÃO PAULO
23220,2020-04-01,2981,642,164,28,44639899,SÃO PAULO
23865,2020-04-02,3506,525,208,44,44639899,SÃO PAULO
24510,2020-04-03,4048,542,219,11,44639899,SÃO PAULO
25155,2020-04-04,4466,418,260,41,44639899,SÃO PAULO
25800,2020-04-05,4620,154,275,15,44639899,SÃO PAULO
26445,2020-04-06,4861,241,304,29,44639899,SÃO PAULO
27090,2020-04-07,5682,821,371,67,44639899,SÃO PAULO
27735,2020-04-08,6708,1026,428,57,44639899,SÃO PAULO
28380,2020-04-09,7480,772,496,68,44639899,SÃO PAULO
29025,2020-04-10,8216,736,540,44,44639899,SÃO PAULO
29670,2020-04-11,8419,203,560,20,44639899,SÃO PAULO
30315,2020-04-12,8755,336,588,28,44639899,SÃO PAULO
30960,2020-04-13,8895,140,608,20,44639899,SÃO PAULO
