,datahora,nome_drs,ocupacao_leitos,pop,internacoes_7d,total_covid_uti_ultimo_dia,ocupacao_leitos_ultimo_dia,internacoes_ultimo_dia
0,2020-10-08,DRS 01 Grande São Paulo,"42,17",21138247,4121,4798,"41,91",658
1,2020-10-08,DRS 02 Araçatuba,"49,52",764041,126,120,"49,17",22
2,2020-10-08,DRS 03 Araraquara,"36,61",991435,248,123,"39,84",39
3,2020-10-08,DRS 04 Baixada Santista,"26,43",1831884,205,412,"26,70",31
4,2020-10-08,DRS 05 Barretos,"60,49",425090,192,91,"63,74",27
5,2020-10-08,DRS 06 Bauru,"65,29",1741281,379,231,"67,53",53
6,2020-10-08,DRS 07 Campinas,"38,62",4562125,597,670,"40,90",86
7,2020-10-08,DRS 08 Franca,"55,45",696336,119,110,"50,91",17
8,2020-10-08,DRS 09 Marília,"41,16",1109670,184,160,"39,38",36
9,2020-10-08,DRS 10 Piracicaba,"36,70",1539600,185,245,"32,24",24
10,2020-10-08,DRS 11 Presidente Prudente,"63,84",752260,171,77,"64,94",27
11,2020-10-08,DRS 12 Registro,"28,95",278754,35,39,"28,21",5
12,2020-10-08,DRS 13 Ribeirão Preto,"54,86",1477530,428,307,"49,51",65
13,2020-10-08,DRS 14 São João da Boa Vista,"44,45",809836,142,126,"42,06",22
14,2020-10-08,DRS 15 São José do Rio Preto,"59,80",1570421,685,444,"57,43",120
15,2020-10-08,DRS 16 Sorocaba,"47,03",2461760,260,236,"47,03",36
16,2020-10-08,DRS 17 Taubaté,"36,10",2489629,368,435,"35,63",56
17,2020-10-08,Estado de São Paulo,"43,30",44639899,8445,8624,"42,93",1324
18,2020-10-09,DRS 01 Grande São Paulo,"42,04",21138247,4146,4809,"41,21",635
19,2020-10-09,DRS 02 Araçatuba,"49,28",764041,127,125,"50,40",16
20,2020-10-09,DRS 03 Araraquara,"36,66",991435,259,123,"37,40",37
21,2020-10-09,DRS 04 Baixada Santista,"25,95",1831884,206,430,"24,42",29
22,2020-10-09,DRS 05 Barretos,"61,31",425090,180,91,"62,64",19
23,2020-10-09,DRS 06 Bauru,"66,16",1741281,377,230,"68,26",55
24,2020-10-09,DRS 07 Campinas,"38,95",4562125,579,662,"38,97",75
25,2020-10-09,DRS 08 Franca,"54,15",696336,117,110,"47,27",19
26,2020-10-09,DRS 09 Marília,"41,25",1109670,195,160,"38,75",39
27,2020-10-09,DRS 10 Piracicaba,"35,86",1539600,192,243,"34,16",28
28,2020-10-09,DRS 11 Presidente Prudente,"62,75",752260,176,79,"59,49",27
29,2020-10-09,DRS 12 Registro,"28,95",278754,31,39,"35,90",4
30,2020-10-09,DRS 13 Ribeirão Preto,"53,59",1477530,450,308,"48,38",77
31,2020-10-09,DRS 14 São João da Boa Vista,"44,23",809836,149,127,"40,94",19
32,2020-10-09,DRS 15 São José do Rio Preto,"59,62",1570421,703,443,"59,59",113
33,2020-10-09,DRS 16 Sorocaba,"46,82",2461760,270,227,"47,58",45
34,2020-10-09,DRS 17 Taubaté,"35,12",2489629,348,437,"31,58",47
35,2020-10-09,Estado de São Paulo,"43,11",44639899,8505,8643,"42,08",1284
36,2020-10-10,DRS 01 Grande São Paulo,"42,01",21138247,4164,4749,"41,42",617
37,2020-10-10,DRS 02 Araçatuba,"50,12",764041,146,119,"55,46",27
38,2020-10-10,DRS 03 Araraquara,"36,70",991435,265,123,"35,77",41
39,2020-10-10,DRS 04 Baixada Santista,"25,78",1831884,188,412,"27,18",21
40,2020-10-10,DRS 05 Barretos,"62,29",425090,177,91,"65,93",19
41,2020-10-10,DRS 06 Bauru,"66,81",1741281,369,227,"68,28",51
42,2020-10-10,DRS 07 Campinas,"39,39",4562125,562,659,"38,69",72
43,2020-10-10,DRS 08 Franca,"52,08",696336,125,110,"44,55",20
44,2020-10-10,DRS 09 Marília,"41,79",1109670,204,155,"41,94",32
45,2020-10-10,DRS 10 Piracicaba,"34,76",1539600,188,239,"30,13",27
46,2020-10-10,DRS 11 Presidente Prudente,"62,20",752260,178,78,"60,26",22
47,2020-10-10,DRS 12 Registro,"28,56",278754,32,39,"28,21",5
48,2020-10-10,DRS 13 Ribeirão Preto,"51,99",1477530,426,308,"48,05",52
49,2020-10-10,DRS 14 São João da Boa Vista,"43,69",809836,153,126,"37,30",25
50,2020-10-10,DRS 15 São José do Rio Preto,"59,42",1570421,695,442,"59,95",91
51,2020-10-10,DRS 16 Sorocaba,"47,19",2461760,256,229,"48,03",35
52,2020-10-10,DRS 17 Taubaté,"34,19",2489629,342,442,"31,00",47
53,2020-10-10,Estado de São Paulo,"43,00",44639899,8470,8548,"42,23",1204
54,2020-10-11,DRS 01 Grande São Paulo,"41,97",21138247,4110,4648,"40,49",466
55,2020-10-11,DRS 02 Araçatuba,"50,00",764041,145,123,"52,03",16
56,2020-10-11,DRS 03 Araraquara,"37,84",991435,264,126,"39,68",37
57,2020-10-11,DRS 04 Baixada Santista,"25,96",1831884,184,402,"26,62",19
58,2020-10-11,DRS 05 Barretos,"62,64",425090,162,91,"62,64",17
59,2020-10-11,DRS 06 Bauru,"66,67",1741281,347,230,"63,04",34
60,2020-10-11,DRS 07 Campinas,"38,86",4562125,522,654,"35,93",45
61,2020-10-11,DRS 08 Franca,"50,91",696336,129,110,"47,27",21
62,2020-10-11,DRS 09 Marília,"41,13",1109670,201,161,"38,51",27
63,2020-10-11,DRS 10 Piracicaba,"33,57",1539600,176,237,"28,27",15
64,2020-10-11,DRS 11 Presidente Prudente,"63,62",752260,172,79,"68,35",22
65,2020-10-11,DRS 12 Registro,"29,31",278754,36,39,"33,33",8
66,2020-10-11,DRS 13 Ribeirão Preto,"50,95",1477530,412,312,"47,44",42
67,2020-10-11,DRS 14 São João da Boa Vista,"42,62",809836,144,126,"34,13",17
68,2020-10-11,DRS 15 São José do Rio Preto,"58,79",1570421,689,443,"55,76",89
69,2020-10-11,DRS 16 Sorocaba,"47,38",2461760,235,230,"45,65",24
70,2020-10-11,DRS 17 Taubaté,"34,37",2489629,347,418,"36,12",52
71,2020-10-11,Estado de São Paulo,"42,85",44639899,8275,8429,"41,31",951
72,2020-10-12,DRS 01 Grande São Paulo,"41,91",21138247,4034,4673,"40,49",429
73,2020-10-12,DRS 02 Araçatuba,"50,66",764041,144,120,"53,33",15
74,2020-10-12,DRS 03 Araraquara,"37,92",991435,252,124,"35,48",18
75,2020-10-12,DRS 04 Baixada Santista,"25,95",1831884,196,403,"25,81",33
76,2020-10-12,DRS 05 Barretos,"62,01",425090,152,91,"56,04",14
77,2020-10-12,DRS 06 Bauru,"66,48",1741281,327,229,"64,19",28
78,2020-10-12,DRS 07 Campinas,"38,65",4562125,514,647,"36,48",79
79,2020-10-12,DRS 08 Franca,"50,39",696336,114,110,"47,27",11
80,2020-10-12,DRS 09 Marília,"39,70",1109670,191,165,"35,76",11
81,2020-10-12,DRS 10 Piracicaba,"32,39",1539600,163,239,"29,71",11
82,2020-10-12,DRS 11 Presidente Prudente,"64,24",752260,175,78,"64,10",22
83,2020-10-12,DRS 12 Registro,"30,03",278754,32,39,"30,77",2
84,2020-10-12,DRS 13 Ribeirão Preto,"49,14",1477530,404,307,"42,35",40
85,2020-10-12,DRS 14 São João da Boa Vista,"41,39",809836,137,130,"36,15",12
86,2020-10-12,DRS 15 São José do Rio Preto,"57,95",1570421,660,440,"54,55",57
