,nome_munic,doseunica,segundadose,primeiradose
0,ZACARIAS,69,1651,2108
1,VOTUPORANGA,2314,61674,80094
2,VOTORANTIM,3252,61743,85076
3,VITÓRIA BRASIL,37,1162,1548
4,VISTA ALEGRE DO ALTO,254,4693,6380
5,VIRADOURO,457,11412,14660
6,VINHEDO,2286,45595,61677
7,VERA CRUZ,181,6901,8356
8,VÁRZEA PAULISTA,3590,57574,87684
9,VARGEM GRANDE PAULISTA,1343,22864,38993
10,VARGEM GRANDE DO SUL,1018,23625,33780
11,VARGEM,261,5290,8060
12,VALPARAÍSO,609,14748,20123
13,VALINHOS,3342,77572,101528
14,VALENTIM GENTIL,405,8915,11036
15,URUPÊS,351,9286,11268
16,URU,26,1037,1150
17,URÂNIA,232,5651,7260
18,UNIÃO PAULISTA,36,1137,1384
19,UCHOA,231,6511,8049
20,UBIRAJARA,104,2588,4290
21,UBATUBA,2140,51404,76201
22,UBARANA,160,3410,4473
23,TURMALINA,23,1444,1704
24,TURIÚBA,39,1347,1604
25,TUPI PAULISTA,325,11253,13922
26,TUPÃ,1383,42577,53590
27,TUIUTI,180,4025,5365
28,TRÊS FRONTEIRAS,134,4097,5301
29,TREMEMBÉ,1222,27960,40560
30,TRABIJU,35,1155,1434
31,TORRINHA,256,6428,7882
32,TORRE DE PEDRA,50,1783,2329
33,TIMBURI,39,1860,2265
34,TIETÊ,1123,25411,31526
35,TERRA ROXA,245,5276,6561
36,TEODORO SAMPAIO,574,12974,17993
37,TEJUPÁ,90,2709,3582
38,TAUBATÉ,7748,190328,240935
39,TATUÍ,3091,71962,98905
40,TARUMÃ,410,8885,11830
41,TARABAI,204,4350,5559
42,TAQUARIVAÍ,122,2848,4755
43,TAQUARITUBA,495,15326,20921
44,TAQUARITINGA,1299,35895,44062
45,TAQUARAL,59,1716,2257
46,TAPIRATIBA,283,8142,10492
47,TAPIRAÍ,151,4973,6640
48,TANABI,625,16679,20983
49,TAMBAÚ,572,13123,17251
50,TAIÚVA,158,4023,5453
51,TAIAÇU,150,3907,4762
52,TAGUAÍ,343,7928,10432
53,TACIBA,156,3301,4636
54,TABOÃO DA SERRA,7654,141998,215758
55,TABATINGA,520,8838,11913
56,TABAPUÃ,268,7870,9549
57,SUZANO,7560,147985,225260
58,SUZANÁPOLIS,65,2363,2918
59,SUMARÉ,7988,151918,219734
60,SUD MENNUCCI,196,4818,6143
61,SOROCABA,15861,300566,534658
62,SOCORRO,983,26487,33867
63,SILVEIRAS,162,4214,5220
64,SEVERÍNIA,509,9102,12226
65,SETE BARRAS,258,6561,9959
66,SERTÃOZINHO,3543,76599,100752
67,SERRA NEGRA,637,19238,23957
68,SERRA AZUL,156,8053,11941
69,SEBASTIANÓPOLIS DO SUL,82,2466,2868
70,SARUTAIÁ,66,2295,3030
71,SARAPUÍ,261,5795,8252
72,SÃO VICENTE,7583,182263,269228
73,SÃO SIMÃO,355,9297,11657
74,SÃO SEBASTIÃO DA GRAMA,295,6602,8871
75,SÃO SEBASTIÃO,2349,50297,71202
76,SÃO ROQUE,2034,43629,69203
77,SÃO PEDRO DO TURVO,160,4481,5991
78,SÃO PEDRO,785,16465,28692
79,SÃO PAULO,324773,7508919,10413742
80,SÃO MIGUEL ARCANJO,836,18644,26386
81,SÃO MANUEL,1036,22735,29504
82,SÃO LUIZ DO PARAITINGA,240,7425,9211
83,SÃO LOURENÇO DA SERRA,369,8443,12068
84,SÃO JOSÉ DOS CAMPOS,15954,432695,574094
85,SÃO JOSÉ DO RIO PRETO,11551,300465,384154
86,SÃO JOSÉ DO RIO PARDO,1256,33718,44682
87,SÃO JOSÉ DO BARREIRO,88,2714,3369
88,SÃO JOSÉ DA BELA VISTA,228,4607,6118
89,SÃO JOAQUIM DA BARRA,1437,28889,39353
90,SÃO JOÃO DO PAU D'ALHO,30,1597,1855
91,SÃO JOÃO DE IRACEMA,35,1214,1535
92,SÃO JOÃO DAS DUAS PONTES,60,1769,2087
93,SÃO JOÃO DA BOA VISTA,2116,60740,76056
94,SÃO FRANCISCO,43,2119,2376
95,SÃO CARLOS,6784,166065,209276
96,SÃO CAETANO DO SUL,3584,109222,131619
97,SÃO BERNARDO DO CAMPO,21026,485886,646441
98,SÃO BENTO DO SAPUCAÍ,239,7392,9626
99,SANTOS,7965,290524,371310
100,SANTÓPOLIS DO AGUAPEÍ,162,2760,3218
101,SANTO EXPEDITO,60,2059,2516
102,SANTO ANTÔNIO DO PINHAL,148,3841,5712
103,SANTO ANTÔNIO DO JARDIM,192,3912,5009
104,SANTO ANTÔNIO DO ARACANGUÁ,235,5241,6342
105,SANTO ANTÔNIO DE POSSE,648,12700,18931
106,SANTO ANTÔNIO DA ALEGRIA,155,4833,5864
107,SANTO ANDRÉ,15772,423482,570613
108,SANTO ANASTÁCIO,507,11912,15373
109,SANTANA DE PARNAÍBA,3748,89700,117820
110,SANTANA DA PONTE PENSA,32,1220,1311
111,SANTA SALETE,30,1229,1406
112,SANTA ROSA DE VITERBO,666,15566,20060
113,SANTA RITA DO PASSA QUATRO,548,17666,22191
114,SANTA RITA D'OESTE,58,1976,2257
115,SANTA MERCEDES,53,1941,2606
116,SANTA MARIA DA SERRA,173,3106,4511
117,SANTA LÚCIA,239,4874,6093
118,SANTA ISABEL,1152,30981,43917
119,SANTA GERTRUDES,628,12653,19188
120,SANTA FÉ DO SUL,702,22398,29217
121,SANTA ERNESTINA,164,3692,4668
122,SANTA CRUZ DO RIO PARDO,978,29730,39075
123,SANTA CRUZ DAS PALMEIRAS,984,17173,23793
124,SANTA CRUZ DA ESPERANÇA,40,1405,1731
